,uid,method,c,epsilon,meanql
178,43,OPT-SEM-IND,3,1.8000000000000003,0.023021582733812957
179,43,ESSA,3,1.8000000000000003,0.0947736511492846
180,44,OPT-SEM-IND,3,1.8000000000000003,0.013848039215686283
181,44,ESSA,3,1.8000000000000003,0.07829640503369957
182,52,OPT-SEM-IND,3,1.8000000000000003,0.012497048150416445
183,52,ESSA,3,1.8000000000000003,0.14465577701283597
184,62,OPT-SEM-IND,3,1.8000000000000003,0.022350517238402926
185,62,ESSA,3,1.8000000000000003,0.14160241979772992
186,65,OPT-SEM-IND,3,1.8000000000000003,0.05308846665964776
187,65,ESSA,3,1.8000000000000003,0.12509171475952688
188,67,OPT-SEM-IND,3,1.8000000000000003,0.0543468021157481
189,67,ESSA,3,1.8000000000000003,0.14686918371751959
190,71,OPT-SEM-IND,3,1.8000000000000003,0.045503061959825286
191,71,ESSA,3,1.8000000000000003,0.15659425101500363
192,84,OPT-SEM-IND,3,1.8000000000000003,0.015179760319573913
193,84,ESSA,3,1.8000000000000003,0.10027145775621335
194,85,OPT-SEM-IND,3,1.8000000000000003,0.009228070513341475
195,85,ESSA,3,1.8000000000000003,0.08732939472890125
196,128,OPT-SEM-IND,3,1.8000000000000003,0.0040030792917628965
197,128,ESSA,3,1.8000000000000003,0.08492442565261075
198,4,OPT-SEM-IND,12,0.2,0.22304030813434575
199,4,USS,12,0.2,1.1353178540357836
200,4,ESSA,12,0.2,0.3965931916821717
201,7,OPT-SEM-IND,12,0.2,0.15423267794156734
202,7,USS,12,0.2,1.395406089275912
203,7,ESSA,12,0.2,0.4208848085187708
204,14,OPT-SEM-IND,12,0.2,0.11906076888530914
205,14,USS,12,0.2,1.1058554222580166
206,14,ESSA,12,0.2,0.383940620303339
207,22,OPT-SEM-IND,12,0.2,0.05941672525019696
208,22,USS,12,0.2,1.1548857087833273
209,22,ESSA,12,0.2,0.40733871395348853
210,25,OPT-SEM-IND,12,0.2,0.16668877463330303
211,25,USS,12,0.2,1.2721061832083447
212,25,ESSA,12,0.2,0.5300180756672903
213,35,OPT-SEM-IND,12,0.2,0.14235483338764712
214,35,USS,12,0.2,1.0214507140054288
215,35,ESSA,12,0.2,0.3661832291334404
216,36,OPT-SEM-IND,12,0.2,0.18942689869886017
217,36,USS,12,0.2,1.3305373115645334
218,36,ESSA,12,0.2,0.4087579445503913
219,38,OPT-SEM-IND,12,0.2,0.17696756056466828
220,38,USS,12,0.2,1.0251999357636856
221,38,ESSA,12,0.2,0.33601913640698383
222,43,OPT-SEM-IND,12,0.2,0.11992994984773586
223,43,USS,12,0.2,1.241323941140563
224,43,ESSA,12,0.2,0.3975991977911827
225,44,OPT-SEM-IND,12,0.2,0.05785402962253498
226,44,USS,12,0.2,1.1420692617732278
227,44,ESSA,12,0.2,0.40341247638207517
228,52,OPT-SEM-IND,12,0.2,0.16446456870216392
229,52,USS,12,0.2,1.6883598707775063
230,52,ESSA,12,0.2,0.5547720963136765
231,62,OPT-SEM-IND,12,0.2,0.18542687977378558
232,62,USS,12,0.2,1.3292265130289174
233,62,ESSA,12,0.2,0.5593940976518329
234,65,OPT-SEM-IND,12,0.2,0.2001856877127576
235,65,USS,12,0.2,1.031260624298112
236,65,ESSA,12,0.2,0.3983549234834459
237,67,OPT-SEM-IND,12,0.2,0.09351402857675484
238,67,USS,12,0.2,1.076121086429371
239,67,ESSA,12,0.2,0.3572707053955791
240,71,OPT-SEM-IND,12,0.2,0.05144927193813739
241,71,USS,12,0.2,1.1232785803055139
242,71,ESSA,12,0.2,0.336683988782818
243,84,OPT-SEM-IND,12,0.2,0.14595582110407793
244,84,USS,12,0.2,1.0604691144902636
245,84,ESSA,12,0.2,0.3711097565855505
246,85,OPT-SEM-IND,12,0.2,0.11063286821637933
247,85,USS,12,0.2,1.0689484054543756
248,85,ESSA,12,0.2,0.3516117988159425
249,128,OPT-SEM-IND,12,0.2,0.15967418649488213
250,128,USS,12,0.2,1.1382624180256875
251,128,ESSA,12,0.2,0.41507410320264315
252,4,OPT-SEM-IND,12,0.6000000000000001,0.22188063574208322
253,4,ESSA,12,0.6000000000000001,0.3969769717233856
254,7,OPT-SEM-IND,12,0.6000000000000001,0.14862553531877637
255,7,ESSA,12,0.6000000000000001,0.4210209377943897
256,14,OPT-SEM-IND,12,0.6000000000000001,0.11906076888530914
257,14,ESSA,12,0.6000000000000001,0.38415343195044027
258,22,OPT-SEM-IND,12,0.6000000000000001,0.05941672525019696
259,22,ESSA,12,0.6000000000000001,0.40769100854189605
260,25,OPT-SEM-IND,12,0.6000000000000001,0.16668877463330303
261,25,ESSA,12,0.6000000000000001,0.5298590850544188
262,35,OPT-SEM-IND,12,0.6000000000000001,0.14235483338764712
263,35,ESSA,12,0.6000000000000001,0.36612244185446835
