,uid,method,ndim,mean_ql
151,15584,OPT-LOC-DP,2,0.4166883888610171
152,15584,OPT-SEM-IND,2,0.28624434556632283
153,15584,USS,2,0.7846284362614223
154,15584,ESSA,2,0.6861599010988695
155,26352,PL,2,1.2121382354370416
156,26352,OPT-LOC-DP,2,0.9344616829638693
157,26352,OPT-SEM-IND,2,0.4035249006727397
158,26352,USS,2,0.9814770499611335
159,26352,ESSA,2,0.6881069839083955
160,31486,PL,2,1.2830274521758114
161,31486,OPT-LOC-DP,2,1.0153354859269472
162,31486,OPT-SEM-IND,2,0.42222510343364705
163,31486,USS,2,0.9793047038746894
164,31486,ESSA,2,0.7192597533811733
165,36273,PL,2,1.2246630430213366
166,36273,OPT-LOC-DP,2,0.9883531410511717
167,36273,OPT-SEM-IND,2,0.4277000104288371
168,36273,USS,2,1.035723219880555
169,36273,ESSA,2,0.7181511567946846
170,44524,PL,2,1.3267537679485084
171,44524,OPT-LOC-DP,2,0.2161429015647503
172,44524,OPT-SEM-IND,2,0.17337171528261847
173,44524,USS,2,1.1365059064375405
174,44524,ESSA,2,0.7626349053014134
175,52943,PL,2,1.2087156579064169
176,52943,OPT-LOC-DP,2,0.49929563944420924
177,52943,OPT-SEM-IND,2,0.2972366619092462
178,52943,USS,2,0.9228983603870756
179,52943,ESSA,2,0.7054983337580266
180,79128,PL,2,1.2266242902107674
181,79128,OPT-LOC-DP,2,0.743741858006292
182,79128,OPT-SEM-IND,2,0.39814267930697944
183,79128,USS,2,0.9478871268844759
184,79128,ESSA,2,0.7095152781184381
185,104357,PL,2,1.2095394066649565
186,104357,OPT-LOC-DP,2,0.8510439388489822
187,104357,OPT-SEM-IND,2,0.405995038176891
188,104357,USS,2,0.9710864248514108
189,104357,ESSA,2,0.7044686713754594
190,122586,PL,2,1.182802340326589
191,122586,OPT-LOC-DP,2,0.7572755632649968
192,122586,OPT-SEM-IND,2,0.2985971829005062
193,122586,USS,2,0.9415343628920819
194,122586,ESSA,2,0.7158349078102799
195,153607,PL,2,1.2458750091796118
196,153607,OPT-LOC-DP,2,0.6062573993936285
197,153607,OPT-SEM-IND,2,0.3503139324016731
198,153607,USS,2,1.1552187138659922
199,153607,ESSA,2,0.7245825840369555
200,22,PL,3,1.2423561496143065
201,22,OPT-LOC-DP,3,1.024905547054325
202,22,OPT-SEM-IND,3,0.5276191384816651
203,22,USS,3,1.2528821949417084
204,22,ESSA,3,0.8283543337468607
205,590,PL,3,1.16546853675879
206,590,OPT-LOC-DP,3,0.576999073547336
207,590,OPT-SEM-IND,3,0.3767851741889319
208,590,USS,3,1.1818653685050258
209,590,ESSA,3,0.832975328493975
210,1255,PL,3,1.218695465477924
211,1255,OPT-LOC-DP,3,0.9253067246040669
212,1255,OPT-SEM-IND,3,0.4841118766316601
213,1255,USS,3,1.164395728454263
214,1255,ESSA,3,0.7839072876862366
215,1810,PL,3,1.1645106322578012
216,1810,OPT-LOC-DP,3,0.43109823745435183
217,1810,OPT-SEM-IND,3,0.3320109817572145
218,1810,USS,3,1.1126813118939016
219,1810,ESSA,3,0.8411000082898665
220,3480,PL,3,1.2095325038482996
221,3480,OPT-LOC-DP,3,0.679167807324269
222,3480,OPT-SEM-IND,3,0.4290712133118613
